company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
BMW,M8 GRAN COUPE,sports,V8,gas,4395 cc,523.0,305.0,3.3,5.0,750.0,197100.0,146000.0
BMW,M850i DRIVE COUPE,sports,V8,gas,4935 cc,523.0,285.0,3.7,4.0,750.0,145800.0,108000.0
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,sports,V12,gas,6592 cc,563.0,250.0,4.8,4.0,840.0,537300.0,398000.0
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,sedan,V12,gas,6749 cc,563.0,250.0,5.1,5.0,850.0,514350.0,381000.0
ROLLS ROYCE,PHATOM TRANQUILITY,sedan,V12,gas,6749 cc,563.0,250.0,5.3,5.0,900.0,641250.0,475000.0
ROLLS ROYCE,GHOST ZENITH,sedan,V12,gas,6749 cc,563.0,250.0,4.9,5.0,900.0,452250.0,335000.0
ROLLS ROYCE,WRAITH EAGLE VIII,sports,V12,gas,6592 cc,623.0,250.0,4.5,4.0,800.0,471150.0,349000.0
ROLLS ROYCE,PHATOM ORCHID,sedan,V12,gas,6749 cc,563.0,250.0,5.3,5.0,900.0,668250.0,495000.0
ROLLS ROYCE,GHOST AZURE,sedan,V12,gas,6749 cc,563.0,250.0,4.9,5.0,900.0,479250.0,355000.0
ROLLS ROYCE,WRAITH KRYPTOS,sports,V12,gas,6592 cc,623.0,250.0,4.5,4.0,800.0,498150.0,369000.0
ROLLS ROYCE,DAWN SILVER BULLET,sports,V12,gas,6592 cc,563.0,250.0,4.8,4.0,840.0,564300.0,418000.0
ROLLS ROYCE,CULLINAN FUX ORANGE,sedan,V12,gas,6749 cc,563.0,250.0,5.1,5.0,850.0,541350.0,401000.0
ROLLS ROYCE,PHANTOM CELESTIAL,sedan,V12,gas,6749 cc,563.0,250.0,5.3,5.0,900.0,695250.0,515000.0
ROLLS ROYCE,GHOST MYSORE,sedan,V12,gas,6749 cc,563.0,250.0,4.9,5.0,900.0,506250.0,375000.0
ROLLS ROYCE,WRAITH LUMINARY,sports,V12,gas,6592 cc,623.0,250.0,4.5,4.0,800.0,525150.0,389000.0
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,sports,V12,gas,6592 cc,563.0,250.0,4.8,4.0,840.0,592650.0,439000.0
ROLLS ROYCE,CULLINAN RED DIAMOND,sedan,V12,gas,6749 cc,563.0,250.0,5.1,5.0,850.0,568350.0,421000.0
AUDI,R8 V10 PLUS,sports,V10,gas,5204 cc,610.0,330.0,3.2,2.0,560.0,261900.0,194000.0
AUDI,RS7 SPORTBACK,sports,V8,gas,3993 cc,591.0,305.0,3.6,5.0,800.0,153900.0,114000.0
AUDI,S8,sedan,V8,gas,3993 cc,563.0,305.0,4.3,5.0,800.0,136350.0,101000.0
AUDI,RS6 AVANT,sports,V8,gas,3993 cc,591.0,305.0,3.6,5.0,800.0,147150.0,109000.0
AUDI,S7 SPORTBACK,sedan,V8,gas,3993 cc,563.0,305.0,4.3,5.0,650.0,129600.0,96000.0
AUDI,A8,sedan,V6,gas,2995 cc,335.0,250.0,5.7,5.0,600.0,116100.0,86000.0
AUDI,S5 COUPE,sports,V6,gas,2995 cc,349.0,250.0,4.8,4.0,500.0,86400.0,64000.0
AUDI,SQ5,sedan,V6,gas,2995 cc,349.0,250.0,5.4,5.0,500.0,83700.0,62000.0
AUDI,S4 SEDAN,sedan,V6,gas,2995 cc,349.0,250.0,4.7,5.0,500.0,79650.0,59000.0
